c0010,c0020,c0030,c0040,c0050,c0060,c0070,c0080,c0090,c0100,c0110,c0120
C:2996925581,549300MSNMHPC3O60W78,eba_qCO:qx2000,eba_TA:S13,eba_ZZ:x962,,2025-04-01,eba_BT:x29,eba_ZZ:x798,eba_ZZ:x792,eba_BT:x28,"PE Accounting, Visma"
C:7070351658,31000177946992,eba_qCO:qx2003,eba_TA:S06,eba_ZZ:x960,eba_ZZ:x964,2025-03-21,,eba_ZZ:x967,eba_ZZ:x793,eba_BT:x21,
C:1000038923,549300I5OMH3T4UPBN04,eba_qCO:qx2000,eba_TA:S07,eba_ZZ:x960,eba_ZZ:x964,2025-03-21,eba_BT:x29,eba_ZZ:x967,eba_ZZ:x793,eba_BT:x28,"Valuno Group AB is just the middle man, the suppliers can be signed separately "
