c0010,c0020,c0030,c0040,c0050,c0060,c0070,c0080,c0090,c0100,c0110
549300I5OMH3T4UPBN04,"Valuno Group AB (publ)",eba_GA:SE,eba_CT:x317,eba_RP:x53,549300I5OMH3T4UPBN04,2025-03-03,2025-01-13,9999-12-31,eba_CU:EUR,0
894500FORXRTIGU4JV07,"QB Europe AB",eba_GA:SE,eba_CT:x303,eba_RP:x56,549300I5OMH3T4UPBN04,2025-02-20,2025-01-13,9999-12-31,eba_CU:EUR,0
